OPE ID,School,City,State,Zip Code,Full Address,lat,lon,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,avg_loans_originated,# of Disbursements,$ of Disbursements,avg_loans_disbursed
41745,AVEDA INSTITUTE OF NEW MEXICO (THE),ALBUQUERQUE,NM,87104,ALBUQUERQUE NM 87104 ,35.18,-106.52,Proprietary,Total,171,171,762930,4461.578947,171,379096,2216.935673
41714,AVEDA INSTITUTE PORTLAND,PORTLAND,OR,97209,PORTLAND OR 97209 ,45.53,-122.69,Proprietary,Total,742,742,2674043,3603.831536,769,1336930,1738.530559
40723,AVEDA INSTITUTE PROVO,PROVO,UT,84601,PROVO UT 84601 ,40.21,-111.72,Proprietary,Total,488,488,1712076,3508.352459,528,883292,1672.901515
41945,AVEDA INSTITUTE TUCSON,TUCSON,AZ,85701,TUCSON AZ 85701 ,32.21,-110.83,Proprietary,Total,653,653,2305169,3530.12098,653,1142394,1749.454824
9873,AVEDA INSTITUTE TWIN FALLS,TWIN FALLS,ID,83301,TWIN FALLS ID 83301 ,42.57,-114.48,Proprietary,Total,319,319,1242013,3893.45768,407,690879,1697.4914
42716,"AVENUE ACADEMY, A COSMETOLOGY INSTITUTE (THE)",ALBUQUERQUE,NM,87110,ALBUQUERQUE NM 87110 ,35.09,-106.56,Proprietary,Total,288,288,1067976,3708.25,288,533952,1854
41607,AVENUE FIVE INSTITUTE,AUSTIN,TX,78757,AUSTIN TX 78757 ,30.36,-97.74,Proprietary,Total,175,175,553902,3165.154286,175,282739,1615.651429
3702,AVERETT UNIVERSITY,DANVILLE,VA,24541,DANVILLE VA 24541 ,36.56,-79.41,Private-Nonprofit,Total,20161,20173,156144756,7740.28434,20173,69799190,3460.030238
9898,AVERY JAMES SCHOOL OF COSMETOLOGY,LAKE CHARLES,LA,70601,LAKE CHARLES LA 70601 ,30.23,-93.20,Proprietary,Total,164,164,520000,3170.731707,164,260000,1585.365854
40384,AVI CAREER TRAINING,GREAT FALLS,VA,22066,GREAT FALLS VA 22066 ,39.02,-77.36,Proprietary,Total,332,332,1186656,3574.26506,352,613392,1742.590909
35233,AVIATION INSTITUTE OF MAINTENANCE,DULUTH,GA,30096,DULUTH GA 30096 ,34.00,-84.17,Proprietary,Total,5112,5124,24616583,4804.173107,5232,12564039,2401.383601
31763,AVIATION INSTITUTE OF MAINTENANCE,INDIANAPOLIS,IN,46241,INDIANAPOLIS IN 46241 ,39.72,-86.29,Proprietary,Total,2842,2904,13778796,4744.764463,2944,7027828,2387.169837
35733,AVIATION INSTITUTE OF MAINTENANCE,IRVING,TX,75062,IRVING TX 75062 ,32.86,-96.99,Proprietary,Total,2698,2789,12481121,4475.124059,2829,6357863,2247.38883
42402,AVIATION INSTITUTE OF MAINTENANCE,OAKLAND,CA,94621,OAKLAND CA 94621 ,37.74,-122.20,Proprietary,Total,1617,1637,8220535,5021.707392,1697,4219066,2486.190925
31107,AVIATION INSTITUTE OF MAINTENANCE,PHILADELPHIA,PA,19114,PHILADELPHIA PA 19114 ,40.05,-74.99,Proprietary,Total,1775,1811,7728539,4267.553285,1831,3939827,2151.735117
41564,AVIATION INSTITUTE OF MAINTENANCE,ORLANDO,FL,32803,ORLANDO FL 32803 ,28.57,-81.37,Proprietary,Total,1468,1519,7259332,4779.020408,1559,3685490,2364.00898
41467,AVIATION INSTITUTE OF MAINTENANCE,HOUSTON,TX,77061,HOUSTON TX 77061 ,40.15,-91.09,Proprietary,Total,1395,1423,6938410,4875.903022,1443,3490535,2418.943174
36163,AVIATION INSTITUTE OF MAINTENANCE,KANSAS CITY,MO,64129,KANSAS CITY MO 64129 ,39.03,-94.50,Proprietary,Total,1070,1070,5492626,5133.295327,1070,2768708,2587.57757
38834,AVIATION INSTITUTE OF MAINTENANCE,MANASSAS,VA,20110,MANASSAS VA 20110 ,38.75,-77.47,Proprietary,Total,911,978,4615395,4719.217791,1010,2350035,2326.767327
31263,AVIATION INSTITUTE OF MAINTENANCE,CHESAPEAKE,VA,23320,CHESAPEAKE VA 23320 ,36.79,-76.23,Proprietary,Total,832,832,3737516,4492.206731,880,1941751,2206.535227
39863,AVIATOR COLLEGE OF AERONAUTICAL SCIENCE & TECHNOLOGY,FORT PIERCE,FL,34946,FORT PIERCE FL 34946 ,27.48,-80.30,Proprietary,Total,90,90,1136000,12622.22222,90,568000,6311.111111
2449,AVILA UNIVERSITY,KANSAS CITY,MO,64145,KANSAS CITY MO 64145 ,38.88,-94.59,Private-Nonprofit,Total,14360,14544,93246983,6411.371218,14544,45211964,3108.633388
8263,AWARD BEAUTY SCHOOL,HAGERSTOWN,MD,21740,HAGERSTOWN MD 21740 ,39.63,-77.71,Proprietary,Total,112,112,335712,2997.428571,164,186728,1138.585366
4621,AYERS CAREER COLLEGE,SHREVEPORT,LA,71108,SHREVEPORT LA 71108 ,32.44,-93.79,Proprietary,Total,452,452,2356330,5213.119469,452,1178165,2606.559735
1117,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,91702,AZUSA CA 91702 ,34.15,-117.91,Private-Nonprofit,Total,76245,79770,1148500057,14397.64394,80240,516464294,6436.494192
